idx,name,tokens,arith,cmp,bit,index,call,ret,loop,assign,reader,strings,nums,class
133,b4,481,14,8,0,41,12,5,1,17,,1,55,"loop/control, compare/branch, arithmetic, table-index, call-heavy, returns-value, mutates-state"
134,XC,138,2,5,0,9,1,0,2,5,,0,16,"loop/control, compare/branch, table-index, mutates-state"
135,UC,23,0,0,0,2,1,0,0,1,,0,2,unclassified
136,SC,5,0,0,0,0,0,0,0,0,,0,0,unclassified
137,r4,32,1,0,0,2,0,1,0,2,,0,3,returns-value
138,L,376,1,1,0,9,20,2,0,18,,0,10,"table-index, call-heavy, returns-value, mutates-state"
139,oC,134,3,4,0,8,0,3,1,5,,0,16,"loop/control, compare/branch, arithmetic, table-index, returns-value, mutates-state"
140,TC,24,0,0,0,1,1,1,0,1,,0,1,returns-value
141,r,93,0,3,0,0,2,3,0,2,,0,5,"compare/branch, returns-value"
142,t,21,0,0,0,1,0,1,0,1,,0,1,returns-value
143,C4,94,2,4,0,1,1,1,1,5,,0,10,"loop/control, compare/branch, returns-value, mutates-state"
144,q4,91,0,3,0,0,2,1,2,3,,0,4,"loop/control, compare/branch, returns-value, mutates-state"
145,dC,17,0,0,0,0,0,1,0,1,,0,0,returns-value
146,NC,602,13,18,0,39,11,4,9,29,,0,75,"loop/control, compare/branch, arithmetic, table-index, call-heavy, returns-value, mutates-state"
